STATE,CORELATION,WARNING
MS,0.540584675,EXTREME HEAT
LA,0.311794948,TORNADO
NM,0.384237314,FLASH FLOOD
AL,0.656243558,TORNADO
GA,0.590747682,FLASH FLOOD
MD,0.603630151,TORNADO
IL,0.829566087,FREEZE
MO,0.479614509,FREEZE
TN,0.475779491,RED FLAG
SC,0.779029103,TORNADO
AR,0.774263362,TORNADO
AZ,0.862545321,FLOOD
CO,0.795381615,RED FLAG
SD,0.768292638,RED FLAG
PA,0.535756999,FREEZE
VA,0.480730653,SEVERE THUNDERSTORM
KY,0.515805437,FREEZE
NC,0.37633674,TORNADO
OH,0.635949854,FREEZE
WI,0.772542382,FREEZE
IN,0.62587158,RED FLAG
OR,0.743801029,EXTREME HEAT
MT,0.51531874,FREEZE
TX,0.398991865,EXTREME HEAT
WA,0.701402013,EXTREME HEAT
MI,0.748057593,SEVERE THUNDERSTORM
KS,0.438793121,FREEZE
MN,0.433446681,TORNADO
OK,0.578715436,TORNADO
NV,0.623942405,EXTREME HEAT
CT,0.639233656,RED FLAG
CA,0.838662667,EXTREME HEAT
NY,0.411423129,FREEZE
FL,0.59031504,FLASH FLOOD
HI,0.875471412,SEVERE THUNDERSTORM
ME,0.63113459,FLOOD
MA,0.152949198,SEVERE THUNDERSTORM
DE,0.808012885,TORNADO
IA,0.194782749,FREEZE
ID,0.646680115,FLOOD
NE,0.605710741,RED FLAG
WV,0.602999759,FREEZE
UT,0.695103854,RED FLAG
